FMID,MarketName,Website,street,city,County,State,zip,Season1Date,Season1Time,Season2Date,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time,x,y,Location,Credit,WIC,WICcash,SFMNP,SNAP,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,updateTime
1005636,32nd Street/Waverly Farmers Market,http://www.32ndstreetmarket.org,E. 32nd & Barclay Street,Baltimore,Baltimore,Maryland,21218,01/01/2013 to 12/31/2013,Sat: 7:00 AM-12:00 PM;,,,,,,,-76.611000000000004,39.327199999999998,Closed-off public street,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,N,06/27/13 13:44
1005310,33rd and Diamond Farmers' Market,http://www.foodtrustmarkets.org/markets.html,N 33rd and Diamond Streets,Philadelphia,Philadelphia,Pennsylvania,19121,,Tue: 2:00 PM-6:00 PM;,,,,,,,-75.187060000000002,39.988669999999999,Other,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,06/28/13 15:57
1003161,38th & Meridian Farmers Market,,3808 North Meridian Street,Indianapolis,Marion,Indiana,46208,June to October,Thu:4:00 PM - 6:30 PM;,,,,,,,-86.158749999999998,39.826039999999999,"Faith-based institution (e.g., church, mosque, synagogue, temple)",Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,04/30/12 10:26
1004414,3rd & Curry St. Farmers Market,http://www.carsonfarmersmarket.com,3rd & Curry Street,Carson City,Carson City,Nevada,89703,June to September,Sat:8:30 AM - 1:30 PM;,,,,,,,-119.76779999999999,39.162570000000002,Local government building grounds,Y,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,N,05/18/12 16:12
1002860,3rd Street N (hwy 11) beside jack's Restaurant,,3rd St N (Hwy 11) beside Jack's Restaurant,Attalla,Etowah,Alabama,39554,06/06/2013 to 09/26/2013,Thu: 2:00 PM-6:00 PM;,,,,,,,-86.090987999999996,34.019131999999999,Local government building grounds,Y,N,N,Y,N,Y,N,N,Y,Y,N,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,07/11/13 13:43
1006234,4th Street Farmers Market,http://www.4thstreetfarmersmarket.com,315 East 4th St.,Larimer,,Colorado,,,,,,,,,,-105.07299999999999,40.395400000000002,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
1006494,52 & Shadeland Avenue Farmers Market,,5200 N. Shadeland Avenue,Indianapolis,,Indiana,46226,,,,,,,,,-86.047600000000003,39.848100000000002,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1005304,52nd and Haverford Farmers' Market,http://www.foodtrustmarkets.org/markets.html,N 52nd Street and Haverford Avenue,Philadelphia,Philadelphia,Pennsylvania,19139,,Wed: 1:00 PM-5:00 PM;Fri: 1:00 PM-5:00 PM;,,,,,,,-75.224609999999998,39.964979999999997,Other,Y,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,06/28/13 16:10
1000060,57th Street Greenmarket,http://www.grownyc.org,W 57 St. & 9 Ave,New York,New York,New York,10019,04/20/2013 to 12/21/2013,Wed: 8:00 AM-5:00 PM;Sat: 8:00 AM-5:00 PM;,,,,,,,-73.985799999999998,40.7682,Other,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,07/24/13 11:06
1005306,58th and Chester Farmers' Market,http://www.foodtrustmarkets.org/markets.html,58th Street and Chester Avenue,Philadelphia,Philadelphia,Pennsylvania,19143,,Wed: 2:00 PM-6:00 PM;,,,,,,,-75.228324000000001,39.935555999999998,Other,Y,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,06/28/13 16:02
1007272,5th Street Farmers Market,,5th and Main Street,Millersburg,Bourbon,Kentucky,40348,,,,,,,,,-84.148700000000005,38.300400000000003,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,06/14/13 11:23
1002678,61st Street Farmers Market,http://www.experimentalstation.org/farmers-market,6100 S Blackstone,Chicago,Cook,Illinois,60637,05/11/2013 to 12/14/2013,Sat: 9:00 AM-2:00 PM;,,,,,,,-87.591307999999998,41.784205999999998,Closed-off public street,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,N,06/12/13 12:24
1004249,6701 Burnet Road Market,http://www.6701burnetroadmarket.com,6701 Burnet Road Market,Austin,Austin,Texas,78757,,,,,,,,,-97.701800000000006,30.425799999999999,Private business parking lot,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,Y,N,Y,N,Y,N,N,N,N,Y,Y,N,N,01/22/12 18:36
1000061,79th Street Greenmarket,http://www.grownyc.org,Columbus - W 78 & 81 Sts.,New York,New York,New York,10024,01/01/2013 to 12/31/2013,Sun: 8:00 AM-5:00 PM;,,,,,,,-73.975700000000003,40.781799999999997,Other,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,N,07/24/13 10:54
1000062,82nd Street Greenmarket,http://www.grownyc.org,E 82nd St. - 1st & York Ave,New York,New York,New York,10028,01/01/2013 to 12/31/2013,Sat: 9:00 AM-2:30 PM;,,,,,,,-73.950100000000006,40.773699999999998,Other,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,07/24/13 10:50
1008391,84 west farmers market (Dothan),,,Dothan,Houston,Alabama,,06/06/2013 to 08/08/2013,Thu: 3:00 PM-6:00 PM;,,,,,,,-85.450141000000002,31.232699,Private business parking lot,Y,N,N,Y,N,Y,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,N,06/24/13 21:09
1001961,8th Avenue City Farmers Market,,8th Ave & 2nd St SE,Cedar Rapids,Linn,Iowa,52401,May to October,Tue:4:00 PM - 6:00 PM;Sat:7:30 AM - 12:00 PM;,,,,,,,-91.662653399999996,41.972836999999998,Local government building grounds,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,04/25/12 13:17
1000063,92nd Street Greenmarket,http://www.grownyc.org,1st Ave - E 92nd & 93 Sts.,New York,New York,New York,10128,06/23/2013 to 11/24/2013,Sun: 9:00 AM-4:00 PM;,,,,,,,-73.946399999999997,40.780900000000003,Other,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,07/24/13 10:43
1000064,97th Street Greenmarket,http://www.grownyc.org,W 97 St. & Columbus,New York,New York,New York,10025,01/01/2013 to 12/31/2013,Fri: 8:00 AM-2:00 PM;,,,,,,,-73.966999999999999,40.793599999999998,Other,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,07/24/13 10:39
1001683,A Better Choice Bakery & Market,,27 W Potomac Street,Brunswick,Frederick,Maryland,21716,January to December,Mon:12:00 PM - 5:00 PM;Tue:12:00 PM - 5:00 PM;Wed:12:00 PM - 5:00 PM;Thu:12:00 PM - 5:00 PM;Fri:12:00 PM - 5:00 PM;Sat:10:00 AM - 5:00 PM;sun:12:00 PM - 5:00 PM;,,,,,,,-77.6277075,39.313065999999999,Co-located with wholesale market facility,Y,N,N,N,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,05/ 3/12 17:01
1002697,A Kentucky Farmer's Market LLC,,2349 S Hwy 127,Russell Springs,Russell,Kentucky,42642,June to October,Tue:7:00 AM - 4:00 PM;Fri:7:00 AM - 4:00 PM;Sat:7:00 AM - 2:00 PM;,,,,,,,-85.076795000000004,37.032535000000003,Private business parking lot,Y,Y,N,Y,N,N,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,04/27/12 23:26
1007585,AAMC Farmers's Market,,"2001 Medical Parkway, Sajak Pavilion",Annapolis,Anne Arundel,Maryland,21401,,,,,,,,,-76.612300000000005,39.006,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,07/23/11 23:54
1005547,Abacoa Town Center Green Market,,"East of Donald Ross Road, Exit off I-95",Jupiter,Palm Beach,Florida,33478,,,,,,,,,-80.129599999999996,26.883800000000001,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1004573,Abbeville Farmers Market,,118 Trinity Street at Livery Stable,Abbeville,Abbeville,South Carolina,29620,06/06/2013 to 10/04/2013,Thu: 4:00 PM-8:00 PM;Fri: 7:00 AM-12:00 PM;,,,,,,,-82.380241999999996,34.177428999999997,Local government building grounds,Y,N,N,Y,N,Y,N,Y,N,Y,N,Y,Y,Y,N,N,Y,N,N,Y,N,N,Y,N,N,07/11/13 13:41
1006491,ABBEVILLE FARMERS MARKET,,100 COLUMBIA RD.,ABBEVILLE,HENRY,Alabama,36310,,,,,,,,,-85.246600000000001,31.563300000000002,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
1004598,Abbotsford Farmers Market,,1011 East Spruce St.,Abbotsford,Clark,Wisconsin,54405,May to October,Tue:1:30 PM - 5:30 PM;,,,,,,,-90.307145000000006,44.945664999999998,Private business parking lot,Y,Y,N,Y,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,05/ 7/12 10:47
1003865,Abbott Northwestern Farmers Market,http://www.iatp.org/minimarkets,800 E 28th St,Minneapolis,Hennepin,Minnesota,,,,,,,,,,-93.262900000000002,44.955599999999997,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,May 26 2010 11:24PM
1002947,Aberdeen Farmers Market,http://www.dakotaflavor.com/category.asp?catid=12,"2nd Ave., S.E. & S. Lincoln Street",Aberdeen,Brown,South Dakota,57401,,,,,,,,,-98.486599999999996,45.463099999999997,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1004031,Abilene Farmers Market,,East 1st & Buckeye St.,Abilene,Dickinson,Kansas,67410,,,,,,,,,-97.213899999999995,38.915300000000002,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1006744,Abingdon Farmers Market,http://www.abingdonfarmersmarket.com,Remsburg Drive and Cummings Street,Abingdon,Washington,Virginia,24210,04/20/2013 to 03/22/2014,Tue: 3:00 PM-6:00 PM;Sat: 8:00 AM-1:00 PM;,,,,,,,-81.977406000000002,36.708734,Local government building grounds,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,06/17/13 18:33
1000065,Abingdon Square Greenmarket,http://www.grownyc.org,W12 St. & 8th Ave,New York,New York,New York,10014,01/01/2013 to 12/31/2013,Sat: 8:00 AM-2:00 PM;,,,,,,,-74.005300000000005,40.737200000000001,Other,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,N,07/24/13 10:36
1006988,Abington,http://www.abingtonsage.com,362 Plymouth Street,Abington,Plymouth,Massachusetts,2351,07/13/2013 to 09/21/2013,Sat: 9:00 AM-12:00 PM;,,,,,,,-70.936899999999994,42.119,Local government building grounds,Y,N,N,N,N,Y,N,N,N,Y,N,Y,Y,Y,N,Y,N,N,N,Y,N,N,Y,N,N,06/12/13 21:34
1007070,Abington Farmers Market,,12055 Rose Drove,Clarks Summit,Lackawanna,Pennsylvania,,,,,,,,,,-75.774600000000007,41.424999999999997,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1004762,ABQ Uptown Growers' Market,http://www.abquptowngrowersmarket.org,NE parking lot of ABQ Uptown shopping center,Albququerque,Bernalillo,New Mexico,,June to October,Sat:7:00 AM - 12:00 PM;,,,,,,,-106.565838,35.103988000000001,Other,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,05/ 9/12 17:38
1004763,ABQ Uptown Growers' Market,http://www.abquptowngrowersmarket.org,1200 Block of Central Ave NE,Albuquerque,Bernalillo,New Mexico,,June to October,Tue:7:00 AM - 12:00 PM;,,,,,,,-106.633172,35.082374999999999,Healthcare Institution,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,05/ 9/12 17:38
20001,ABV Farm Market,http://www.appleblossomvillage.com/,690 Allegheny Road,Mount Bethe,,Pennsylvania,18343,,,,,,,,,-75.099800000000002,40.874299999999998,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,
1002108,Acadia Farmers' Market in Town Hill,,,Town Hill,Hancock,Maine,,,,,,,,,,-68.971599999999995,44.590800000000002,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1007575,Acadiana Farmers Market,,801 Foreman Drive,Opelousas,Lafayette,Louisiana,70570,,,,,,,,,-92.063400000000001,30.214700000000001,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
1005122,Ace Farmers Market,,115 Black River Blvd,Rome,Oneida,New York,,,,,,,,,,-75.454099999999997,43.209800000000001,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
1008461,Acme Ranch Truck Patch,http://www.agrimissouri.com/mo-grown/grodetail.php?type=mo-grown&ID=1877,RR1 Box 146,Birch Tree,Shannon,Missouri,65438,,Mon: 9:00 AM-5:00 PM;Tue: 9:00 AM-5:00 PM;Wed: 9:00 AM-5:00 PM;Thu: 9:00 AM-5:00 PM;Fri: 9:00 AM-5:00 PM;Sat: 9:00 AM-5:00 PM;,,,,,,,-91.492637999999999,36.991165000000002,"On a farm from: a barn, a greenhouse, a tent, a stand, etc",Y,N,N,N,N,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,Y,N,06/25/13 15:20
1003469,Acton-Boxborough Farmers Market,http://www.ABFarmersMarket.org,1 Pearl St,Acton,Middlesex,Massachusetts,1720,"June 19, 2012 to October 21, 2012",sun:10:00 AM - 1:00 PM;,,,,,,,-71.474149999999995,42.475180000000002,Closed-off public street,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,05/24/12 13:08
1003112,Acushnet farmers market,http://www.stonebridgefarmevents.com,186 Leonard Street,Acushnet,Bristol,Massachusetts,2743,06/15/2013 to 10/19/2013,Sat: 9:00 AM-1:00 PM;,,,,,,,-70.899900000000002,41.719900000000003,"On a farm from: a barn, a greenhouse, a tent, a stand, etc",Y,N,N,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,Y,N,Y,Y,N,N,06/10/13 12:56
1007519,Acworth Farmers Market,,Main and Lemon Streets,Acworth,Cobb,Georgia,,,,,,,,,,-84.676699999999997,34.0657,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1001393,Ada Farmer's Market,,12th Street and Townsend,Ada,Pontotoc,Oklahoma,74820,April to November,Wed:6:00 am - 2:00 pm;Sat:6:00 am - 2:00 pm;,,,,,,,-96.679699999999997,34.773899999999998,Private business parking lot,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,Jun 4 2010 4:34PM
1001083,Ada Farmers' Market,http://www.adafarmersmarket.com,7239 Thornapple River Dr.,Ada,Kent,Michigan,49301,06/18/2013 to 09/24/2013,Tue: 12:00 PM-6:00 PM;,,,,,,,-85.488968299999996,42.955371499999998,"Faith-based institution (e.g., church, mosque, synagogue, temple)",Y,N,N,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,06/10/13 17:42
1006969,AdairCo Farmers Market,,"409 Fairground Street, Adair County co-op ext service parking lot",Columbia,Adair County,Kentucky,,,,,,,,,,-85.296999999999997,37.104300000000002,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
1005790,Adams County Farmers' Market Association,http://www.acfarmersmarkets.org,Gettysburg Recreation Park 545 Long Lane,Gettysburg,Adams,Pennsylvania,17325,May to October,Wed:12:00 PM - 4:00 PM;,,,,,,,-77.237297999999996,39.825018,Other,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,N,N,07/14/12 12:11
1008775,Adams County Farmers' Market Association,http://www.acfarmersmarkets.org,1863 Gettysburg Village Drive,Gettysburg,Adams,Pennsylvania,17325,05/04/2013 to 10/26/2013,Fri: 9:30 AM-2:00 PM;Sat: 9:30 AM-2:00 PM;,,,,,,,-77.200396999999995,39.793778000000003,Private business parking lot,Y,Y,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,Y,N,N,06/28/13 14:48
1007597,Adams Farmers Market,,60 Columbia Street,Adams,,Massachusetts,1220,,,,,,,,,-73.115799999999993,42.629300000000001,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1008006,Adams Morgan Farmers Market,http://www.lickingcreekbendfarm.com,18th St. and Columbia Rd. NW,Washington,District of Columbia,District of Columbia,20009,06/05/2013 to 12/21/2013,Sat: 7:30 AM-1:00 PM;,,,,,,,-77.042599999999993,38.922600000000003,Other,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,06/19/13 18:03
1005109,Added Value Farm Stand at Governors Island,,Gresham Rd,Brooklyn,Kings,New York,11231-1235,,,,,,,,,-74.023099999999999,40.6875,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
1002464,Addison Farmers Market,,One Friendship Plaza,Addison,DuPage,Illinois,60101,,,,,,,,,-87.993399999999994,41.932099999999998,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1005741,Adel Farmers Market,,Courthouse Square,Adel,Dallas,Iowa,50830,,,,,,,,,-94.017499999999998,41.614400000000003,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1005272,Adelanto Stadium Farmers Market,,Hwy 395 & Rancho Drive,Victorville,San Bernardino,California,92392,,,,,,,,,-117.405,34.5593,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
20002,Adrian Farmers Market,,115 Toledo Street,Adrian,,Michigan,49221,,,,,,,,,-84.0351,41.900199999999998,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,
1008667,Afton Village Farmers Market,http://www.piedmont-farmersmarket.com,5401 Village Dr,Concord,Cabarrus,North Carolina,28027,01/01/2013 to 12/31/2013,Thu: 4:00 PM-7:00 PM;,,,,,,,-80.670171999999994,35.414037999999998,Other,Y,Y,N,N,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,N,N,N,06/27/13 13:53
1007586,AGH Wellness Committee Farmer's Market,,9733 Healthway Drive,Berlin,Worcester,Maryland,21811,,,,,,,,,-75.211299999999994,38.338799999999999,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,07/23/11 23:58
1003178,Agricenter International Farmers Market,http://www.agricenter.org,7777 Walnut Grove Road,Memphis,Shelby,Tennessee,38120,05/01/2013 to 10/31/2013,Mon: 7:30 AM-5:30 PM;Tue: 7:30 AM-5:30 PM;Wed: 7:30 AM-5:30 PM;Thu: 7:30 AM-5:30 PM;Fri: 7:30 AM-5:30 PM;Sat: 7:00 AM-5:30 PM;,,,,,,,-89.801873000000001,35.127315000000003,Local government building grounds,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,06/10/13 12:55
